"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Iris pseudacorus","2","0","0","0","0","0","0","11","3","15","0"
"Juncus articulatus","0","0","0","0","0","0","0","1","1","2","0"
"Juncus compressus","0","0","0","0","0","0","0","1","0","2","0"
"Juncus gerardii","0","0","0","0","0","0","0","1","0","3","0"
"Juncus inflexus","0","0","0","0","0","0","0","1","0","1","0"
"Lactuca serriola","6","0","0","0","1","2","0","34","29","15","0"
"Lactuca serriola UC96US23","0","0","0","0","0","0","0","0","0","0","0"
"Lepidium densiflorum","1","0","0","0","0","0","0","2","0","1","0"
"Leucojum aestivum","0","1","0","0","0","0","0","4","2","2","0"
"Liatris pycnostachya","0","0","0","0","0","0","0","1","1","0","0"
"Ligustrum vulgare","2","2","0","0","0","0","0","5","4","8","0"
"Lomentaria hakodatensis","0","0","0","0","12","0","0","0","0","0","0"
"Lotus corniculatus","6","3","0","0","0","0","0","21","10","25","0"
"Lupinus polyphyllus","2","0","0","0","0","0","0","42","30","10","0"
"Lycopus asper","0","0","0","0","0","0","0","2","0","2","0"
"Lycopus europaeus","0","0","0","0","0","0","0","7","0","2","0"
"Lysimachia nummularia","0","0","0","0","0","0","0","4","3","6","0"
"Lysimachia vulgaris","0","0","0","0","0","0","0","7","2","6","0"
"Lythrum salicaria","3","2","0","0","0","0","0","10","10","3","0"
"Macfadyena","0","0","0","0","0","0","0","0","0","0","0"
"Marrubium vulgare","0","0","0","0","0","0","0","0","0","8","0"
"Marsilea quadrifolia","1","0","0","0","0","0","0","1","1","4","0"
"Medicago lupulina","5","3","0","0","0","0","0","29","19","11","0"
"Mentha aquatica","6","0","0","0","0","0","0","17","16","19","0"
"Mentha spicata","3","2","0","0","0","0","0","26","19","39","0"
"Mentha x gracilis","0","0","0","0","0","0","0","1","1","1","0"
"Mentha x piperita","1","3","0","0","0","0","0","44","39","25","0"
"Microstegium vimineum","3","0","0","0","0","0","0","3","3","148","0"
"Mollugo verticillata","12","4","0","0","0","0","0","13","11","2","0"
"Morus alba","30","4","0","0","0","0","0","100","52","137","0"
"Muhlenbergia racemosa","0","0","0","0","0","0","0","4","1","1","0"
"Myosotis arvensis","1","0","0","0","0","0","0","1","1","3","0"
"Myosotis scorpioides","0","0","0","0","0","0","0","1","0","2","0"
"Myosoton aquaticum","3","0","0","0","0","0","0","3","1","3","0"
"Najas marina","293","0","0","0","0","0","0","27","26","102","0"
"Najas minor","125","0","0","0","0","0","0","124","125","2","0"
"Nasturtium officinale","2","3","0","0","0","0","0","14","10","10","0"
"Nepeta cataria","3","2","0","0","0","0","0","5","1","5","0"
"Oenothera pilosella","0","0","0","0","0","0","0","2","1","1","0"
"Ornithogalum umbellatum","0","0","0","0","0","0","0","1","1","2","0"
"Panicum repens","2","0","0","0","0","0","0","12","11","4","0"
"Parthenocissus quinquefolia","0","0","0","0","0","0","0","0","0","26","0"
"Phalaris arundinacea","2","2","0","0","0","0","0","21","20","18","0"
"Phragmites australis","2","6","0","0","0","0","0","11","7","227","0"
"Picea pungens","0","0","0","0","0","0","0","1","0","7","0"
"Plantago lanceolata","11","0","0","0","3","2","0","40","6","18","0"
"Plantago major","10","0","0","0","2","1","0","49","4","8","0"
"Plantago rugelii","10","1","0","0","2","1","0","2","1","3","0"
"Pluchea odorata","1","0","0","0","0","0","0","2","2","0","0"
"Poa annua","11","2","0","0","2","0","0","31","29","42","0"
"Poa bulbosa","5","0","0","0","0","0","0","8","7","13","0"
"Poa pratensis","7","1","0","0","0","0","0","37","26","50","0"
"Poa trivialis","2","2","0","0","0","0","0","10","8","12","0"
"Polygonum","39","0","0","0","4","0","0","219","190","82","0"
"Polygonum aviculare","6","0","0","0","4","0","0","32","20","9","0"
"Polygonum cuspidatum","1","0","0","0","0","0","0","1","1","7","0"
"Polygonum ramosissimum","0","0","0","0","0","0","0","3","3","1","0"
"Populus deltoides","9","6","0","1","3","0","0","2","5","9","0"
"Portulaca oleracea","23","5","0","0","0","0","0","38","20","14","0"
"Potamogeton crispus","28","0","0","0","0","1","0","14","9","9","0"
"Potentilla norvegica","1","0","0","0","0","0","0","10","2","5","0"
"Prosopis pallida","1","0","0","0","0","0","0","1","1","0","0"
"Prunella vulgaris","1","2","0","0","0","0","0","48","20","11","0"
"Puccinellia distans","1","2","0","0","0","0","0","5","3","8","0"
"Ranunculus acris","2","0","0","0","0","0","0","7","2","41","0"
"Ranunculus bulbosus","0","0","0","0","0","0","0","5","1","2","0"
"Ranunculus flammula","0","1","0","0","0","0","0","3","0","1","0"
"Ranunculus repens","0","2","0","0","0","0","0","2","1","5","0"
"Rhamnus cathartica","4","0","5","0","3","0","0","4","2","4","0"
"Rhizophora mangle","0","1","0","0","0","0","0","6","6","3","0"
"Rhynchospora nitens","0","0","0","0","0","0","0","0","0","0","0"
"Rorippa sylvestris","0","0","0","0","0","0","0","5","1","35","0"
"Rumex acetosella","1","0","0","0","0","0","0","6","2","4","0"
"Rumex crispus","4","2","0","0","0","0","0","10","4","7","0"
"Rumex longifolius","1","0","0","0","0","0","0","1","0","0","0"
"Rumex obtusifolius","0","0","0","0","0","0","0","2","2","2","0"
"Sagina procumbens","3","0","0","0","0","0","0","8","4","1","0"
"Salix alba","3","1","0","0","0","0","0","6","9","0","0"
"Salix exigua","4","0","0","0","2","0","0","3","1","0","0"
"Salix fragilis","1","0","0","0","0","0","0","3","13","3","0"
"Salix x fragilis","0","0","0","0","0","0","0","0","4","0","0"
"Salix purpurea","2","2","0","0","0","2","0","4","3","1","0"
"Salix x pendulina","0","0","0","0","2","0","0","0","0","0","0"
"Salix","121","40","0","0","38","8","0","405","175","105","0"
"Salsola","25","1","0","0","1","0","0","99","83","10","0"
"Salvinia minima","1","0","0","0","0","0","0","1","1","2","0"
"Sapium","0","0","0","0","0","0","0","0","0","7","0"
"Solanum dulcamara","4","2","0","0","3","0","0","1","1","4","0"
"Solidago sempervirens","2","0","0","0","0","0","0","5","4","1","0"
"Sonchus arvensis","0","1","0","0","0","0","0","17","8","2","0"
"Sonchus arvensis subsp. uliginosus","0","0","0","0","0","0","0","0","0","1","0"
"Sonchus asper","1","3","0","0","3","0","0","19","20","4","0"
"Sorghum halepense","5","1","0","0","0","0","0","10","9","17","0"
"Sparganium androcladum","1","0","0","0","0","0","0","1","0","1","0"
"Sparganium emersum","4","0","0","0","0","0","0","1","0","5","0"
"Sparganium glomeratum","6","0","0","0","0","0","0","0","0","5","0"
"Spirodela polyrhiza","3","3","0","0","0","2","0","2","1","13","0"
"Stachys palustris","0","0","0","0","0","0","0","2","0","5","0"
"Tamarix","55","5","0","0","1","0","0","214","180","175","0"
"Tradescantia pallida","0","1","0","0","0","0","0","0","0","3","0"
"Trapa natans","0","2","0","0","0","0","0","15","14","22","0"
"Trifolium hybridum","2","1","0","0","0","0","0","9","3","1","0"
"Trillium erectum","2","0","0","0","0","0","0","3","2","4","0"
"Typha angustifolia","5","2","0","0","2","0","0","11","0","44","0"
"Typha latifolia","2","2","0","0","2","0","0","0","0","47","0"
"Ulmus americana","5","3","1","0","0","0","0","5","5","15","0"
"Veronica beccabunga","7","0","0","0","0","0","0","3","3","2","0"
"Veronica serpyllifolia","2","0","5","0","0","0","0","3","2","1","0"
"Viburnum opulus var. americanum","0","0","0","0","0","0","0","4","4","2","0"
"Viola blanda","0","0","0","0","0","0","0","6","1","3","0"
"Viola blanda var. palustriformis","0","0","0","0","0","0","0","1","1","0","0"
"Wisteria frutescens","3","0","0","0","0","0","0","6","5","1","0"
"Xanthium strumarium","11","0","0","0","0","0","0","26","13","4","0"
"Bothriocephalus","39","10","0","0","1","52","0","10","29","0","0"
"Dactylogyrus amphibothrium","1","0","0","0","0","0","0","0","1","0","0"
"Dactylogyrus hemiamphibothrium","1","0","0","0","0","0","0","0","1","0","0"
"Dugesia","38","3","0","0","451","323","0","1","147","5","3"
"Ichthyocotylurus pileatus","5","0","0","1","10","0","0","2","1","0","0"
"Neascus","3","0","0","0","3","0","0","0","0","0","0"
"Scolex pleuronectis","0","0","0","0","0","0","0","0","0","0","0"
"Timoniella","0","0","0","0","0","0","0","0","0","0","0"
"Trochammina hadai","7","0","0","0","0","0","0","0","0","0","0"
"Acineta","2","0","0","0","0","0","0","1","1","2","0"
"Corythionella","0","0","0","0","0","0","0","0","0","0","0"
"Psammonobiotus communis","0","0","0","0","0","0","0","0","0","0","0"
"Psammonobiotus dziwnowi","0","0","0","0","0","0","0","0","0","0","0"
"Psammonobiotus linearis","0","0","0","0","0","0","0","0","0","0","0"
"Trypanosoma","2485","25","0","4","98","5","0","250","1136","0","326"
"Trypanosoma sp. bat/TryCC60/GAB","0","0","0","0","0","0","0","0","0","0","0"
"Varanus indicus","0","24","0","0","7","0","0","0","0","0","1"
"Caiman crocodilus","0","6","0","0","65","13","0","1","1","0","5"
"Cliona","46","0","0","6","20","91","0","79","123","0","0"
"Cliona aff. celata JRX-2009","0","0","0","0","0","15","0","0","0","0","0"
"Gelliodes","1","0","0","0","5","2","0","0","0","0","0"
"Gelliodes aff. carnosa LNP-2018","0","0","0","0","1","0","0","0","0","0","0"
"Mycale","70","46","0","3","14","38","0","4","1","0","0"
"Mycale sp. sp16","1","0","0","0","0","0","0","0","0","0","0"
"Mycale sp. sp12","0","0","0","0","0","0","0","0","0","0","0"
"Mycale aff. americana GLH-2013","0","1","0","0","0","0","0","0","0","0","0"
"Mycale parishii","1","1","0","0","1","0","0","0","0","0","0"
"Sigmadocia caerulea","0","0","0","1","3","2","0","0","0","0","0"
"Suberites","20","1","0","7","17","37","0","2","1","0","1"
"Cliona celata","29","0","0","1","10","17","0","5","5","0","0"
"Haliclona","125","58","0","8","57","209","0","7","2","0","0"
"Haliclona sp. sp5","1","0","0","0","0","0","0","0","0","0","0"
"Haliclona (Haliclona) sp. KJP-2009","0","0","0","0","0","0","0","0","0","0","0"
"Haliclona (Halichoclona) sp. A GPM-2011","0","0","0","0","0","0","0","0","0","0","0"
"Haliclona aff. aquaeductus","0","0","0","0","1","0","0","0","0","0","0"
"Haliclona (Reniera) sp. CMNI 2018-0176","0","0","0","0","0","0","0","0","0","0","0"
"Prosuberites","32","0","0","0","1","0","0","31","31","0","0"
"Macrobiotus hufelandi","6","0","0","4","5","0","0","0","0","0","0"
"Macrobiotus hufelandi group","10","0","0","4","10","0","0","0","0","0","0"
"Macrobiotus hufelandi group sp. NG-2008","4","0","0","0","3","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7662","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7946","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F3485","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6343","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6344","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6345","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7780","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6388","1","0","0","1","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6391","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6421","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6441","1","0","0","1","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6461","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6464","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6518","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6963","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6965","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6967","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6968","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7031","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7129","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7359","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7516","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7518","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7586","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7588","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7681","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7721","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7831","1","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7835","0","0","0","0","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F7985","0","0","0","1","0","0","0","0","0","0","0"
"Macrobiotus hufelandi grp. sp. F6342","0","0","0","1","0","0","0","0","0","0","0"
"Macrobiotus hufelandi group sp. MC-2011","1","0","0","0","0","0","0","0","0","0","0"
"Milnesium tardigradum","28","0","0","0","14","0","0","6","0","0","0"
"Didemnum","25","1","0","14","224","82","0","0","0","0","0"
"Polyandrocarpa zorritensis","2","0","0","1","6","1","0","0","0","0","0"
"Ascidia sydneiensis","1","0","0","1","4","0","0","0","0","0","0"
"Didemnum candidum","0","0","0","0","4","0","0","0","0","0","0"
"Phallusia nigra","10","0","0","1","1","0","0","0","0","0","0"
"Botrylloides diegensis","2","0","0","0","32","1","0","0","0","0","0"
"Botrylloides","18","0","0","3","138","37","0","0","0","0","1"
"Botrylloides aff. leachii JD-2017","1","0","0","0","1","0","0","0","0","0","0"
"Botrylloides sp. neg1","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg10","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg11","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg12","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg1AN","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg2","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg3","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg3M","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg4","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg5","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg6","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg7","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg8","0","0","0","0","0","0","0","0","0","0","0"
"Botrylloides sp. neg9","0","0","0","0","0","0","0","0","0","0","0"
"Botryllus","18","1","0","7","555","15","0","0","0","0","0"
"Botryllus sp. indet. CG-2020","0","0","0","0","2","2","0","0","0","0","0"
"Corella inflata","1","0","0","0","0","0","0","0","0","0","0"
"Corella willmeriana","0","0","0","0","0","0","0","0","0","0","0"
"Microcosmus squamiger","3","0","0","4","292","1","0","0","0","0","0"
"Styela canopus","1","0","0","1","9","142","0","0","0","0","0"
"Symplegma brakenhielmi","0","0","0","0","13","1","0","0","0","0","0"
"Sarotherodon melanotheron","0","5","0","0","34","13","0","0","0","0","3"
"Tilapia","0","20","0","20","42","1","0","0","0","0","18"
"Acanthogobius flavimanus","1","2","0","0","5","0","0","0","0","0","14"
"Cephalopholis argus","0","6","0","1","99","3","0","0","0","0","6"
"Lutjanus kasmira","0","3","0","0","199","4","0","0","0","0","3"
"Oreochromis aureus","4","4","0","0","76","23","0","1","2","0","6"
"Tridentiger trigonocephalus","0","3","0","0","22","1","0","0","0","0","17"
"Gonodactylaceus falcatus","1","1","0","2","4","71","0","0","0","0","0"
"Lutjanus fulvus","2","3","0","0","38","1","0","0","0","0","8"
"Zebrasoma velifer","0","3","0","0","22","4","0","0","0","0","3"
"Acanthurus maculiceps","0","0","0","0","1","0","0","0","0","0","3"
"Alosa aestivalis","0","6","0","0","25","2","0","0","0","0","5"
"Alosa pseudoharengus","0","11","0","0","35","4","0","0","0","0","10"
"Ameiurus catus","0","10","0","0","9","8","0","0","0","0","10"
"Anchoa lyolepis","0","3","0","0","1","1","0","0","0","0","1"
"Apeltes quadracus","0","5","0","1","16","1","0","0","0","0","3"
"Archoplites interruptus","0","1","0","0","3","0","0","0","0","0","0"
"Astronotus ocellatus","0","6","0","1","13","1","0","0","0","0","8"
"Balistes polylepis","0","4","0","0","4","21","0","0","0","0","3"
"Cichla ocellaris","0","4","0","0","0","3","0","0","0","0","5"
"Cichlasoma bimaculatum","0","3","0","0","2","0","0","0","0","0","0"
"Cittarium pica","4","129","0","0","108","1","0","0","0","0","2"
"Clarias batrachus","4","43","0","14","112","6","0","4","0","0","9"
"Enneacanthus gloriosus","0","1","0","0","25","0","0","0","0","0","0"
"Esox lucius","5","27","0","0","354","8","0","0","0","0","15"
"Esox niger","0","3","0","0","34","0","0","0","0","0","3"
"Fundulus diaphanus","0","4","0","0","36","1","0","0","0","0","3"
"Hemichromis letourneuxi","0","2","0","0","12","1","0","0","0","0","0"
"Heros severus","0","4","0","0","6","1","0","0","0","0","3"
"Heros severus Casiquiare","0","0","0","0","0","0","0","0","0","0","0"
"Heros severus Nanay","0","0","0","0","0","0","0","0","0","0","0"
"Hoplosternum littorale","0","10","0","0","17","4","0","0","0","0","12"
"Hypomesus nipponensis","0","20","0","0","19","6","0","12","0","0","11"
"Ictalurus punctatus","20","44","0","8","79","11","0","3","3","0","25"
"Lepomis humilis","0","3","0","0","16","0","0","0","0","0","1"
"Lepomis microlophus","0","2","0","0","15","0","0","0","0","0","0"
"Leuciscus idus","0","7","0","0","45","0","0","0","1","0","2"
"Limia vittata","0","1","0","0","39","0","0","0","0","0","1"
"Limnophila","0","0","0","0","367","0","0","1","1","4","0"
"Lucania parva","0","0","0","0","8","1","0","0","0","0","0"
"Misgurnus anguillicaudatus","3","23","0","0","62","51","0","0","0","0","64"
"Morone americana","1","11","0","0","32","1","0","0","0","0","10"
"Mylocheilus caurinus","0","10","0","1","15","1","0","0","0","0","3"
"Notropis buchanani","0","0","0","0","24","0","0","0","0","0","0"
"Noturus insignis","0","2","0","0","15","0","0","0","0","0","2"
"Oncorhynchus kisutch","122","72","0","3","173","4","0","1","3","0","12"
"Oncorhynchus mykiss irideus","0","0","0","0","0","0","0","0","0","0","0"
"Oncorhynchus nerka","14","36","0","2","97","3","0","1","5","0","32"
"Oncorhynchus tshawytscha","5","18","0","2","258","7","0","1","13","0","33"
"Oreochromis macrochir","0","6","0","0","2","1","0","0","0","0","2"
"Oreochromis niloticus","196","51","0","55","337","84","0","0","90","0","48"
"Orthodon microlepidotus","0","2","0","0","1","0","0","0","0","0","2"
"Osteoglossum bicirrhosum","3","5","0","0","4","10","0","0","0","0","8"
"Oxydoras niger","0","4","0","0","4","0","0","0","0","0","4"
"Parachromis managuensis","0","6","0","0","12","1","0","0","0","0","3"
"Petromyzon marinus","8","7","0","0","53","1","0","1","1","0","6"
"Phenacobius mirabilis","0","8","0","0","8","2","0","0","0","0","5"
"Piaractus brachypomus","0","6","0","1","52","3","0","0","0","0","5"
"Plecoglossus altivelis","1","11","0","1","2","6","0","1","0","0","19"
"Poecilia latipinna","2","2","0","0","20","2","0","0","0","0","4"
"Poecilia vivipara","0","0","0","0","38","0","0","0","0","0","0"
"Proterorhinus semilunaris","0","5","0","1","14","0","0","0","0","0","0"
"Pygocentrus nattereri","5","10","0","1","66","1","0","0","0","0","5"
"Salmo trutta x Salvelinus fontinalis","0","0","0","0","0","0","0","0","0","0","0"
"Sander lucioperca","6","9","0","0","66","4","0","0","0","0","10"
"Penaeus monodon-type Baculovirus","0","0","0","0","0","0","0","0","0","0","0"
"WSBV","0","0","0","0","0","0","0","0","0","0","0"
"Aeromonas salmonicida","0","16698","0","0","0","0","0","0","1","1","0"
"Novirhabdovirus sp.","0","0","0","0","0","0","0","0","0","0","0"
"Piscirickettsia salmonis","0","3924","0","0","0","0","0","0","0","0","0"
"Piscirickettsia salmonis FSC773","0","0","0","0","0","0","0","0","0","0","0"
"Piscirickettsia salmonis LF-89 = ATCC VR-1361","0","652","0","0","0","0","0","0","0","0","0"
"Piscirickettsia salmonis AUSTRAL-005","0","0","0","0","0","0","0","0","0","0","0"
"Piscirickettsia salmonis EM-90","0","452","0","0","0","0","0","0","0","0","0"
"Piscirickettsia salmonis ES-3","0","0","0","0","0","0","0","0","0","0","0"
"Piscirickettsia salmonis CGA/3731","0","0","0","0","0","0","0","0","0","0","0"
"Piscirickettsia salmonis T-GIM","0","316","0","0","0","0","0","0","0","0","0"
"Ranavirus sp.","0","0","0","0","0","0","0","0","0","0","0"
"Renibacterium salmoninarum","0","68","0","0","0","0","0","0","0","0","0"
"Rhabdovirus carpio","0","0","0","0","0","0","0","0","0","0","0"
